MID Designated Area,LMI Status,Feasibility,Elevation Required,AMI Status,Has Childern under 18,Has Elderly over 65,Race,Ethnicity,Gender,Grant Expended Amount,Milestone
HUD MID,NON-LMI,Rehabilitation,No,Urgent Need (120%),no,no,W= White,Non-Hispanic,Female,"$20,086.72 ","100 homes are repaired, reconstructed or replaced"
HUD MID,NON-LMI,Rehabilitation,No,Urgent Need (120%),no,no,W= White,Non-Hispanic,Female,"$20,086.72 ","100 homes are repaired, reconstructed or replaced"
HUD MID,N/A,Replaced,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
HUD MID,NON-LMI,Rehabilitation,No,Urgent Need (120%),no,no,W= White,Non-Hispanic,Female,"$20,086.72 ","100 homes are repaired, reconstructed or replaced"
HUD MID,NON-LMI,Reconstruction,Yes,Urgent Need (120%),no,no,W= White,Non-Hispanic,Female,"$20,086.72 ","100 homes are repaired, reconstructed or replaced"
HUD MID,NON-LMI,Rehabilitation,No,Urgent Need (120%),no,no,W= White,Non-Hispanic,Female,"$25,834.23 ","500 homes are repaired, reconstructed or replaced"
MID Information Not Submitted,N/A, ,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
HUD MID,NON-LMI,Rehabilitation,No,Urgent Need (120%),no,no,W= White,Non-Hispanic,Female,"$25,834.23 ","500 homes are repaired, reconstructed or replaced"
HUD MID,NON-LMI,Reconstruction,Yes,Urgent Need (120%),no,no,W= White,Non-Hispanic,Female,"$25,834.23 ","500 homes are repaired, reconstructed or replaced"
HUD MID,NON-LMI,Rehabilitation,No,Urgent Need (120%),no,no,W= White,Non-Hispanic,Female,"$25,834.23 ","500 homes are repaired, reconstructed or replaced"
HUD MID,NON-LMI,Rehabilitation,No,Urgent Need (120%),no,no,W= White,Non-Hispanic,Female,"$25,834.23 ","500 homes are repaired, reconstructed or replaced"
MID Information Not Submitted,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
HUD MID,NON-LMI,Rehabilitation,No,Urgent Need (120%),no,no,W= White,Non-Hispanic,Female,"$25,834.23 ","500 homes are repaired, reconstructed or replaced"
HUD MID,N/A,Replaced,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
HUD MID,NON-LMI,Rehabilitation,No,Urgent Need (120%),no,no,W= White,Non-Hispanic,Female,"$25,834.23 ","500 homes are repaired, reconstructed or replaced"
HUD MID,NON-LMI,Reconstruction,Yes,Urgent Need (120%),no,no,W= White,Non-Hispanic,Female,"$25,834.23 ","500 homes are repaired, reconstructed or replaced"
HUD MID,NON-LMI,Reconstruction,Yes,Urgent Need (120%),no,no,W= White,Non-Hispanic,Female,"$25,834.23 ","500 homes are repaired, reconstructed or replaced"
HUD MID,NON-LMI,Rehabilitation,No,Urgent Need (120%),no,no,W= White,Non-Hispanic,Female,"$25,834.23 ","500 homes are repaired, reconstructed or replaced"
MID Information Not Submitted,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
HUD MID,N/A,Replaced,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
HUD MID,NON-LMI,Reconstruction,Yes,Urgent Need (120%),no,no,W= White,Non-Hispanic,Female,"$25,834.23 ","500 homes are repaired, reconstructed or replaced"
HUD MID,NON-LMI,Reconstruction,Yes,Urgent Need (120%),no,no,W= White,Non-Hispanic,Female,"$25,834.23 ","500 homes are repaired, reconstructed or replaced"
HUD MID,NON-LMI,Reconstruction,Yes,Urgent Need (120%),no,no,W= White,Non-Hispanic,Female,"$25,834.23 ","500 homes are repaired, reconstructed or replaced"
HUD MID,NON-LMI,Reconstruction,Yes,Urgent Need (120%),no,no,W= White,Non-Hispanic,Female,"$25,834.23 ","500 homes are repaired, reconstructed or replaced"
HUD MID,NON-LMI,Reconstruction,Yes,Urgent Need (120%),no,no,W= White,Non-Hispanic,Female,"$25,834.23 ","500 homes are repaired, reconstructed or replaced"
HUD MID,NON-LMI,Rehabilitation,No,Urgent Need (120%),no,no,W= White,Non-Hispanic,Female,"$22,481.52 ","1000 homes are repaired, reconstructed or replaced"
HUD MID,N/A,Rehabilitation,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
HUD MID,NON-LMI,Rehabilitation,No,Urgent Need (120%),no,no,W= White,Non-Hispanic,Female,"$22,481.52 ","1000 homes are repaired, reconstructed or replaced"
HUD MID,NON-LMI,Reconstruction,Yes,Urgent Need (120%),no,no,W= White,Non-Hispanic,Female,"$22,481.52 ","1000 homes are repaired, reconstructed or replaced"
HUD MID,N/A,Replaced,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
HUD MID,NON-LMI,Reconstruction,Yes,Urgent Need (120%),no,no,W= White,Non-Hispanic,Female,"$22,481.52 ","1000 homes are repaired, reconstructed or replaced"
HUD MID,NON-LMI,Rehabilitation,No,Urgent Need (120%),no,no,W= White,Non-Hispanic,Female,"$22,481.52 ","1000 homes are repaired, reconstructed or replaced"
HUD MID,LMI,Rehabilitation,No,Low (80%),no,no,W= White,Non-Hispanic,Female,N/A,N/A
HUD MID,NON-LMI,Rehabilitation,No,Urgent Need (120%),no,no,W= White,Non-Hispanic,Female,"$22,481.52 ","1000 homes are repaired, reconstructed or replaced"
HUD MID,NON-LMI,Rehabilitation,No,Urgent Need (120%),no,no,W= White,Non-Hispanic,Female,"$22,481.52 ","1000 homes are repaired, reconstructed or replaced"
HUD MID,NON-LMI,Reconstruction,Yes,Urgent Need (120%),no,no,W= White,Non-Hispanic,Female,"$22,481.52 ","1000 homes are repaired, reconstructed or replaced"
HUD MID,NON-LMI,Rehabilitation,No,Urgent Need (120%),no,no,W= White,Non-Hispanic,Female,"$22,481.52 ","1000 homes are repaired, reconstructed or replaced"
HUD MID,NON-LMI,Rehabilitation,No,Urgent Need (120%),no,no,W= White,Non-Hispanic,Female,"$22,481.52 ","1000 homes are repaired, reconstructed or replaced"
HUD MID,N/A,Rehabilitation,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
HUD MID,LMI,Rehabilitation,No,Low (80%),no,no,W= White,Non-Hispanic,Female,N/A,N/A
HUD MID,NON-LMI,Reconstruction,Yes,Urgent Need (120%),no,no,W= White,Non-Hispanic,Female,"$22,481.52 ","2000 homes are repaired, reconstructed or replaced"
HUD MID,LMI,Rehabilitation,No,Low (80%),no,no,W= White,Non-Hispanic,Female,N/A,N/A
HUD MID,LMI,Replaced,No,Low (80%),no,no,W= White,Non-Hispanic,Female,N/A,N/A
HUD MID,NON-LMI,Rehabilitation,No,Urgent Need (120%),no,no,W= White,Non-Hispanic,Female,"$22,481.52 ","2000 homes are repaired, reconstructed or replaced"
HUD MID,NON-LMI,Rehabilitation,No,Urgent Need (120%),no,no,W= White,Non-Hispanic,Female,"$22,481.52 ","2000 homes are repaired, reconstructed or replaced"
HUD MID,LMI,Replaced,No,Low (80%),no,no,W= White,Non-Hispanic,Female,N/A,N/A
HUD MID,NON-LMI,Rehabilitation,No,Urgent Need (120%),no,no,W= White,Non-Hispanic,Female,"$22,481.52 ","2000 homes are repaired, reconstructed or replaced"
HUD MID,NON-LMI,Rehabilitation,No,Urgent Need (120%),no,no,W= White,Non-Hispanic,Female,"$22,481.52 ","2000 homes are repaired, reconstructed or replaced"
HUD MID,NON-LMI,Rehabilitation,No,Urgent Need (120%),no,no,W= White,Non-Hispanic,Female,"$22,481.52 ","2000 homes are repaired, reconstructed or replaced"
HUD MID,NON-LMI,Reconstruction,Yes,Urgent Need (120%),no,no,W= White,Non-Hispanic,Female,"$22,481.52 ","2000 homes are repaired, reconstructed or replaced"
HUD MID,NON-LMI,Rehabilitation,No,Urgent Need (120%),no,no,W= White,Non-Hispanic,Female,"$22,481.52 ","2000 homes are repaired, reconstructed or replaced"
HUD MID,LMI,Reconstruction,Yes,Low (80%),no,no,W= White,Non-Hispanic,Female,N/A,N/A
HUD MID,NON-LMI,Rehabilitation,No,Urgent Need (120%),no,no,W= White,Non-Hispanic,Female,"$22,481.52 ","2000 homes are repaired, reconstructed or replaced"
MID Information Not Submitted,N/A, ,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
HUD MID,NON-LMI,Rehabilitation,No,Urgent Need (120%),no,no,W= White,Non-Hispanic,Female,"$22,481.52 ","2000 homes are repaired, reconstructed or replaced"
HUD MID,LMI,Reconstruction,Yes,Low (80%),no,no,W= White,Non-Hispanic,Female,N/A,N/A
HUD MID,LMI,Rehabilitation,No,Low (80%),no,no,W= White,Non-Hispanic,Female,N/A,N/A
HUD MID,LMI,Reconstruction,No,Low (80%),no,no,W= White,Non-Hispanic,Female,N/A,N/A
HUD MID,NON-LMI,Rehabilitation,No,Urgent Need (120%),no,no,W= White,Non-Hispanic,Female,"$22,481.52 ","3000 homes are repaired, reconstructed or replaced"
HUD MID,NON-LMI,Rehabilitation,No,Urgent Need (120%),no,no,W= White,Non-Hispanic,Female,"$22,481.52 ","3000 homes are repaired, reconstructed or replaced"
HUD MID,NON-LMI,Reconstruction,Yes,Urgent Need (120%),no,no,W= White,Non-Hispanic,Female,"$22,481.52 ","3000 homes are repaired, reconstructed or replaced"
MID Information Not Submitted,N/A, ,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
HUD MID,LMI,Rehabilitation,No,Low (80%),no,no,W= White,Non-Hispanic,Female,N/A,N/A
HUD MID,NON-LMI,Rehabilitation,No,Urgent Need (120%),no,no,W= White,Non-Hispanic,Female,"$22,481.52 ","3000 homes are repaired, reconstructed or replaced"
HUD MID,NON-LMI,Rehabilitation,No,Urgent Need (120%),no,no,W= White,Non-Hispanic,Female,"$22,481.52 ","3000 homes are repaired, reconstructed or replaced"
HUD MID,NON-LMI,Rehabilitation,No,Urgent Need (120%),no,no,W= White,Non-Hispanic,Female,"$22,481.52 ","3000 homes are repaired, reconstructed or replaced"
HUD MID,NON-LMI,Rehabilitation,No,Urgent Need (120%),no,no,W= White,Non-Hispanic,Female,"$22,481.52 ","3000 homes are repaired, reconstructed or replaced"
HUD MID,NON-LMI,Rehabilitation,No,Urgent Need (120%),no,no,W= White,Non-Hispanic,Female,"$22,481.52 ","3000 homes are repaired, reconstructed or replaced"
HUD MID,NON-LMI,Rehabilitation,No,Urgent Need (120%),no,no,W= White,Non-Hispanic,Female,"$20,086.72 ","100 homes are repaired, reconstructed or replaced"
HUD MID,NON-LMI,Rehabilitation,No,Urgent Need (120%),no,no,W= White,Non-Hispanic,Female,"$20,086.72 ","100 homes are repaired, reconstructed or replaced"
HUD MID,NON-LMI,Rehabilitation,No,Urgent Need (120%),no,no,W= White,Non-Hispanic,Female,"$20,086.72 ","100 homes are repaired, reconstructed or replaced"
HUD MID,LMI,Replaced,No,Low (80%),no,no,W= White,Non-Hispanic,Female,N/A,N/A
HUD MID,LMI,Rehabilitation,No,Low (80%),no,no,W= White,Non-Hispanic,Female,"$20,086.72 ","100 homes are repaired, reconstructed or replaced"
HUD MID,LMI,Reconstruction,Yes,Low (80%),no,no,W= White,Non-Hispanic,Female,"$20,086.72 ","100 homes are repaired, reconstructed or replaced"
HUD MID,LMI,Rehabilitation,No,Low (80%),no,no,W= White,Non-Hispanic,Female,"$20,086.72 ","100 homes are repaired, reconstructed or replaced"
HUD MID,LMI,Rehabilitation,No,Low (80%),no,no,W= White,Non-Hispanic,Female,"$20,086.72 ","100 homes are repaired, reconstructed or replaced"
HUD MID,LMI,Rehabilitation,No,Low (80%),no,no,W= White,Non-Hispanic,Female,"$20,086.72 ","100 homes are repaired, reconstructed or replaced"
HUD MID,LMI,Rehabilitation,No,Low (80%),no,no,W= White,Non-Hispanic,Female,N/A,N/A
HUD MID,LMI,Rehabilitation,No,Low (80%),no,no,W= White,Non-Hispanic,Female,"$20,086.72 ","100 homes are repaired, reconstructed or replaced"
HUD MID,LMI,Rehabilitation,No,Low (80%),no,no,W= White,Non-Hispanic,Female,"$20,086.72 ","100 homes are repaired, reconstructed or replaced"
HUD MID,LMI,Reconstruction,Yes,Low (80%),no,no,W= White,Non-Hispanic,Female,"$20,086.72 ","100 homes are repaired, reconstructed or replaced"
HUD MID,NON-LMI,Rehabilitation,No,Urgent Need (120%),no,no,W= White,Non-Hispanic,Female,"$20,086.72 ","100 homes are repaired, reconstructed or replaced"
HUD MID,NON-LMI,Reconstruction,Yes,Urgent Need (120%),no,no,W= White,Non-Hispanic,Female,"$20,086.72 ","100 homes are repaired, reconstructed or replaced"
HUD MID,LMI,Rehabilitation,No,Low (80%),no,no,W= White,Non-Hispanic,Female,"$20,086.72 ","100 homes are repaired, reconstructed or replaced"
HUD MID,LMI,Replaced,No,Low (80%),no,no,W= White,Non-Hispanic,Female,N/A,N/A
HUD MID,LMI,Rehabilitation,No,Low (80%),no,no,W= White,Non-Hispanic,Female,"$20,086.72 ","100 homes are repaired, reconstructed or replaced"
HUD MID,LMI,Rehabilitation,No,Low (80%),no,no,W= White,Non-Hispanic,Female,"$20,086.72 ","100 homes are repaired, reconstructed or replaced"
HUD MID,LMI,Replaced,No,Low (80%),no,no,W= White,Non-Hispanic,Female,N/A,N/A
MID Information Not Submitted,N/A, ,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
HUD MID,LMI,Rehabilitation,No,Low (80%),no,no,W= White,Non-Hispanic,Female,N/A,N/A
HUD MID,LMI,Replaced,No,Low (80%),no,no,W= White,Non-Hispanic,Female,N/A,N/A
HUD MID,LMI,Rehabilitation,No,Low (80%),no,no,W= White,Non-Hispanic,Female,"$20,086.72 ","100 homes are repaired, reconstructed or replaced"
HUD MID,LMI,Reconstruction,Yes,Low (80%),no,no,W= White,Non-Hispanic,Female,"$20,086.72 ","100 homes are repaired, reconstructed or replaced"
HUD MID,LMI,Reconstruction,Yes,Low (80%),no,no,W= White,Non-Hispanic,Female,"$20,086.72 ","100 homes are repaired, reconstructed or replaced"
HUD MID,LMI,Rehabilitation,No,Low (80%),no,no,W= White,Non-Hispanic,Female,N/A,N/A
HUD MID,LMI,Rehabilitation,No,Low (80%),no,no,W= White,Non-Hispanic,Female,"$20,086.72 ","100 homes are repaired, reconstructed or replaced"
HUD MID,LMI,Replaced,No,Low (80%),no,no,W= White,Non-Hispanic,Female,N/A,N/A
HUD MID,LMI,Rehabilitation,No,Low (80%),no,no,W= White,Non-Hispanic,Female,"$20,086.72 ","100 homes are repaired, reconstructed or replaced"
HUD MID,LMI,Replaced,No,Low (80%),no,no,W= White,Non-Hispanic,Female,N/A,N/A
HUD MID,LMI,Reconstruction,Yes,Low (80%),no,no,W= White,Non-Hispanic,Female,"$20,086.72 ","100 homes are repaired, reconstructed or replaced"
HUD MID,LMI,Rehabilitation,No,Low (80%),no,no,W= White,Non-Hispanic,Female,"$20,086.72 ","100 homes are repaired, reconstructed or replaced"
HUD MID,LMI,Rehabilitation,No,Low (80%),no,no,W= White,Non-Hispanic,Female,"$20,086.72 ","100 homes are repaired, reconstructed or replaced"
HUD MID,LMI,Rehabilitation,No,Low (80%),no,no,W= White,Non-Hispanic,Female,"$20,086.72 ","100 homes are repaired, reconstructed or replaced"
HUD MID,LMI,Rehabilitation,No,Low (80%),no,no,W= White,Non-Hispanic,Female,"$20,086.72 ","100 homes are repaired, reconstructed or replaced"
HUD MID,LMI,Rehabilitation,No,Low (80%),no,no,W= White,Non-Hispanic,Female,"$20,086.72 ","100 homes are repaired, reconstructed or replaced"
HUD MID,LMI,Rehabilitation,No,Low (80%),no,no,W= White,Non-Hispanic,Female,N/A,N/A
HUD MID,LMI,Rehabilitation,No,Low (80%),no,no,W= White,Non-Hispanic,Female,"$20,086.72 ","100 homes are repaired, reconstructed or replaced"
HUD MID,LMI,Replaced,No,Low (80%),no,no,W= White,Non-Hispanic,Female,N/A,N/A
HUD MID,LMI,Reconstruction,Yes,Low (80%),no,no,W= White,Non-Hispanic,Female,"$20,086.72 ","100 homes are repaired, reconstructed or replaced"
HUD MID,LMI,Reconstruction,Yes,Low (80%),no,no,W= White,Non-Hispanic,Female,"$20,086.72 ","100 homes are repaired, reconstructed or replaced"
HUD MID,LMI,Rehabilitation,No,Low (80%),no,no,W= White,Non-Hispanic,Female,"$20,086.72 ","100 homes are repaired, reconstructed or replaced"
HUD MID,LMI,Rehabilitation,No,Low (80%),no,no,W= White,Non-Hispanic,Female,N/A,N/A
HUD MID,LMI,Replaced,No,Low (80%),no,no,W= White,Non-Hispanic,Female,N/A,N/A
HUD MID,LMI,Rehabilitation,No,Low (80%),no,no,W= White,Non-Hispanic,Female,"$20,086.72 ","100 homes are repaired, reconstructed or replaced"
HUD MID,LMI,Reconstruction,Yes,Low (80%),no,no,W= White,Non-Hispanic,Female,"$20,086.72 ","100 homes are repaired, reconstructed or replaced"
HUD MID,LMI,Rehabilitation,No,Low (80%),no,no,W= White,Non-Hispanic,Female,N/A,N/A
HUD MID,LMI,Rehabilitation,No,Low (80%),no,no,W= White,Non-Hispanic,Female,"$20,086.72 ","100 homes are repaired, reconstructed or replaced"
HUD MID,LMI,Rehabilitation,No,Low (80%),no,no,W= White,Non-Hispanic,Female,"$25,834.23 ","500 homes are repaired, reconstructed or replaced"
HUD MID,LMI,Replaced,No,Low (80%),no,no,W= White,Non-Hispanic,Female,N/A,N/A
HUD MID,LMI,Rehabilitation,No,Low (80%),no,no,W= White,Non-Hispanic,Female,N/A,N/A
HUD MID,LMI,Reconstruction,No,Low (80%),no,no,W= White,Non-Hispanic,Female,N/A,N/A
HUD MID,LMI,Reconstruction,Yes,Low (80%),no,no,W= White,Non-Hispanic,Female,"$25,834.23 ","500 homes are repaired, reconstructed or replaced"
HUD MID,LMI,Rehabilitation,No,Low (80%),no,no,W= White,Non-Hispanic,Female,"$25,834.23 ","500 homes are repaired, reconstructed or replaced"
HUD MID,LMI,Rehabilitation,No,Low (80%),no,no,W= White,Non-Hispanic,Female,"$25,834.23 ","500 homes are repaired, reconstructed or replaced"
HUD MID,LMI,Reconstruction,Yes,Low (80%),no,no,W= White,Non-Hispanic,Female,"$25,834.23 ","500 homes are repaired, reconstructed or replaced"
HUD MID,LMI,Reconstruction,Yes,Low (80%),no,no,W= White,Non-Hispanic,Female,"$25,834.23 ","500 homes are repaired, reconstructed or replaced"
HUD MID,LMI,Reconstruction,No,Low (80%),no,no,W= White,Non-Hispanic,Female,N/A,N/A
HUD MID,LMI,Replaced,No,Low (80%),no,no,W= White,Non-Hispanic,Female,N/A,N/A
HUD MID,LMI,Replaced,No,Low (80%),no,no,W= White,Non-Hispanic,Female,N/A,N/A
HUD MID,LMI,Rehabilitation,No,Low (80%),no,no,W= White,Non-Hispanic,Female,"$25,834.23 ","500 homes are repaired, reconstructed or replaced"
HUD MID,LMI,Reconstruction,No,Low (80%),no,no,W= White,Non-Hispanic,Female,N/A,N/A
HUD MID,LMI,Reconstruction,Yes,Low (80%),no,no,W= White,Non-Hispanic,Female,"$25,834.23 ","500 homes are repaired, reconstructed or replaced"
HUD MID,LMI,Rehabilitation,No,Low (80%),no,no,W= White,Non-Hispanic,Female,"$25,834.23 ","500 homes are repaired, reconstructed or replaced"
HUD MID,LMI,Rehabilitation,No,Low (80%),no,no,W= White,Non-Hispanic,Female,"$25,834.23 ","500 homes are repaired, reconstructed or replaced"
HUD MID,LMI,Rehabilitation,No,Low (80%),no,no,W= White,Non-Hispanic,Female,"$25,834.23 ","500 homes are repaired, reconstructed or replaced"
HUD MID,LMI,Reconstruction,No,Low (80%),no,no,W= White,Non-Hispanic,Female,N/A,N/A
HUD MID,LMI,Rehabilitation,No,Low (80%),no,yes,W= White,Non-Hispanic,Female,"$25,834.23 ","500 homes are repaired, reconstructed or replaced"
HUD MID,LMI,Rehabilitation,No,Low (80%),no,yes,W= White,Non-Hispanic,Female,"$25,834.23 ","500 homes are repaired, reconstructed or replaced"
HUD MID,LMI,Replaced,No,Low (80%),no,yes,W= White,Non-Hispanic,Female,N/A,N/A
HUD MID,LMI,Rehabilitation,No,Low (80%),no,yes,W= White,Non-Hispanic,Female,"$25,834.23 ","500 homes are repaired, reconstructed or replaced"
HUD MID,LMI,Reconstruction,Yes,Low (80%),no,yes,W= White,Non-Hispanic,Female,"$25,834.23 ","500 homes are repaired, reconstructed or replaced"
HUD MID,LMI,Reconstruction,Yes,Low (80%),no,yes,W= White,Non-Hispanic,Male,"$25,834.23 ","500 homes are repaired, reconstructed or replaced"
HUD MID,LMI,Rehabilitation,No,Low (80%),no,yes,W= White,Non-Hispanic,Male,"$25,834.23 ","500 homes are repaired, reconstructed or replaced"
HUD MID,LMI,Rehabilitation,No,Low (80%),no,yes,W= White,Non-Hispanic,Male,"$25,834.23 ","500 homes are repaired, reconstructed or replaced"
HUD MID,LMI,Rehabilitation,No,Low (80%),no,yes,W= White,Non-Hispanic,Male,"$25,834.23 ","500 homes are repaired, reconstructed or replaced"
HUD MID,LMI,Rehabilitation,No,Low (80%),no,yes,W= White,Non-Hispanic,Male,"$25,834.23 ","500 homes are repaired, reconstructed or replaced"
HUD MID,LMI,Replaced,No,Low (80%),no,yes,W= White,Non-Hispanic,Male,N/A,N/A
HUD MID,LMI,Reconstruction,Yes,Low (80%),no,yes,W= White,Non-Hispanic,Male,"$25,834.23 ","500 homes are repaired, reconstructed or replaced"
HUD MID,LMI,Rehabilitation,No,Low (80%),no,yes,W= White,Non-Hispanic,Male,"$25,834.23 ","500 homes are repaired, reconstructed or replaced"
HUD MID,LMI,Reconstruction,No,Low (80%),no,yes,W= White,Non-Hispanic,Male,N/A,N/A
MID Information Not Submitted,N/A, ,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
HUD MID,LMI,Replaced,No,Low (80%),no,yes,W= White,Non-Hispanic,Male,N/A,N/A
HUD MID,LMI,Rehabilitation,No,Low (80%),no,yes,W= White,Non-Hispanic,Male,N/A,N/A
HUD MID,LMI,Rehabilitation,No,Low (80%),no,yes,W= White,Non-Hispanic,Male,"$25,834.23 ","500 homes are repaired, reconstructed or replaced"
HUD MID,LMI,Rehabilitation,No,Low (80%),no,yes,W= White,Non-Hispanic,Male,"$25,834.23 ","500 homes are repaired, reconstructed or replaced"
HUD MID,LMI,Rehabilitation,No,Low (80%),no,yes,W= White,Non-Hispanic,Male,"$25,834.23 ","500 homes are repaired, reconstructed or replaced"
HUD MID,LMI,Replaced,No,Low (80%),no,yes,W= White,Non-Hispanic,Male,N/A,N/A
HUD MID,LMI,Rehabilitation,No,Low (80%),no,yes,W= White,Non-Hispanic,Male,"$25,834.23 ","500 homes are repaired, reconstructed or replaced"
HUD MID,LMI,Rehabilitation,No,Low (80%),no,yes,W= White,Non-Hispanic,Male,"$25,834.23 ","500 homes are repaired, reconstructed or replaced"
HUD MID,LMI,Rehabilitation,No,Low (80%),no,yes,W= White,Non-Hispanic,Male,"$25,834.23 ","500 homes are repaired, reconstructed or replaced"
HUD MID,LMI,Reconstruction,No,Low (80%),no,yes,W= White,Non-Hispanic,Male,N/A,N/A
HUD MID,LMI,Rehabilitation,No,Low (80%),no,yes,W= White,Non-Hispanic,Male,N/A,N/A
HUD MID,LMI,Replaced,No,Low (80%),no,yes,W= White,Non-Hispanic,Male,N/A,N/A
HUD MID,LMI,Replaced,No,Low (80%),no,yes,W= White,Non-Hispanic,Male,N/A,N/A
HUD MID,LMI,Rehabilitation,No,Low (80%),no,yes,W= White,Non-Hispanic,Male,"$25,834.23 ","500 homes are repaired, reconstructed or replaced"
HUD MID,LMI,Rehabilitation,No,Low (80%),no,yes,W= White,Non-Hispanic,Male,"$25,834.23 ","500 homes are repaired, reconstructed or replaced"
HUD MID,LMI,Replaced,No,Low (80%),no,yes,W= White,Non-Hispanic,Male,N/A,N/A
HUD MID,LMI,Reconstruction,Yes,Low (80%),no,yes,W= White,Non-Hispanic,Male,"$25,834.23 ","500 homes are repaired, reconstructed or replaced"
HUD MID,LMI,Replaced,No,Low (80%),no,yes,W= White,Non-Hispanic,Male,N/A,N/A
